sku,product,pdf_listed,live_found,usable_image,status,pdf_was,pdf_now,live_was,live_now,product_url
90846,Velvet Bow - Tartan,YES,YES,YES,IN_BOTH_USABLE,£7.50,£3.75,£7.50,£3.75,https://stevegiergiel.vivamknetwork.co.uk/velvet-bow-tartan.html
90847,Velvet Bows 3pk - Tartan,YES,YES,YES,IN_BOTH_USABLE,£5.00,£2.50,£5.00,£2.50,https://stevegiergiel.vivamknetwork.co.uk/velvet-bows-3pk-tartan.html
90848,LED Bauble Ornament - Red,YES,YES,YES,IN_BOTH_USABLE,£12.00,£6.00,£12.00,£6.00,https://stevegiergiel.vivamknetwork.co.uk/led-bauble-ornament-red.html
90849,Solo Candle Holder - Festive Fir,YES,YES,YES,IN_BOTH_USABLE,£7.50,£3.75,£7.50,£3.75,https://stevegiergiel.vivamknetwork.co.uk/solo-candle-holder-festive-fir.html
90850,Solo Candle Holder - Frost,NO,YES,YES,LIVE_ONLY,,,£7.50,£3.75,https://stevegiergiel.vivamknetwork.co.uk/solo-candle-holder-frost.html
90851,Trio Candle Holder - Festive Fir,YES,YES,YES,IN_BOTH_USABLE,£15.00,£7.50,£15.00,£7.50,https://stevegiergiel.vivamknetwork.co.uk/trio-candle-holder-festive-fir.html
90852,Trio Candle Holder - Frost,YES,YES,YES,IN_BOTH_USABLE,£15.00,£7.50,£15.00,£7.50,https://stevegiergiel.vivamknetwork.co.uk/trio-candle-holder-frost.html
90859,Pet Cracker - Dog (Red),YES,YES,YES,IN_BOTH_USABLE,£3.50,£1.75,£3.50,£1.75,https://stevegiergiel.vivamknetwork.co.uk/pet-cracker-dog-red.html
90862,Giant Cracker - Paw Patrol,YES,YES,YES,IN_BOTH_USABLE,£9.00,£4.50,£9.00,£4.50,https://stevegiergiel.vivamknetwork.co.uk/giant-cracker-paw-patrol.html
90865,Confetti Bows 20pk,YES,YES,YES,IN_BOTH_USABLE,£3.00,£1.50,£3.00,£1.50,https://stevegiergiel.vivamknetwork.co.uk/confetti-bows-20pk.html
