sku,product,was,now,saving,percent,product_url,description,image_url,image_file,qr_file,availability,stock_status,sold_out_since
14679,Ladies Thermal Socks - pack of 3,£6.00,£4.50,£1.50,25%,https://stevegiergiel.vivamknetwork.co.uk/ladies-thermal-fairisle-socks-pack-of-3.html,"Stay warm and comfortable with our cosy thermal socks. Designed for all-day comfort, they keep your feet toasty while allowing them to breathe naturally. Machine washable. Polyester, cotton & elastane. Ladies UK size: 4-7. Pack of 3. Design and colour may vary.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14679_1.jpg,output\winter_warmers\cache\images\14679.jpg,output\winter_warmers\cache\images\14679_qr.png,,active,
12203,Luxury Draught Excluder - Westie,£18.50,£13.88,£4.62,25%,https://stevegiergiel.vivamknetwork.co.uk/luxury-draught-excluder-westie.html,Keep out chilly draughts and keep heat in with the luxury westie herringbone draught excluder. Luxury herringbone fabric. Polyester. Wipe clean. H22 x L85 x W13cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/2/12203_1.jpg,output\winter_warmers\cache\images\12203.jpg,output\winter_warmers\cache\images\12203_qr.png,,active,
14587,Luxury Satin Stripe 13.5 Tog Duvet - Single,£22.50,£16.88,£5.62,25%,https://stevegiergiel.vivamknetwork.co.uk/luxury-satin-stripe-13-5-tog-duvet-single.html,"Indulge in unparalleled comfort with our luxury satin stripe 13.5 tog duvet, the ultimate blend of elegance and warmth. Designed for those who demand both style and performance, this duvet transforms your sleep routine into a truly sumptuous experience. Machine washable. Outer: microfibre, filling: polyester. Available in single, double and king size.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14587.jpg,output\winter_warmers\cache\images\14587.jpg,output\winter_warmers\cache\images\14587_qr.png,,active,
14635,Luxury Sherpa Throw - Dachshund,£18.00,£13.50,£4.50,25%,https://stevegiergiel.vivamknetwork.co.uk/luxury-sherpa-throw-dachshund.html,Wrap yourself in warmth with our luxury winter throws - perfect for chilly nights and cosy days in. Choose from a timeless classic tartan or an adorable dachshund design. It's super soft with sherpa reverse for extra snuggly comfort. 100% polyester. Machine washable. L150 x W120cm approx.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14635.jpg,output\winter_warmers\cache\images\14635.jpg,output\winter_warmers\cache\images\14635_qr.png,,active,
14633,Luxury Super Soft Flannel Blanket - Dachshund,£12.00,£9.00,£3.00,25%,https://stevegiergiel.vivamknetwork.co.uk/luxury-super-soft-flannel-blanket-dachshund.html,Wrap yourself in warmth with our luxury winter throws - perfect for chilly nights and cosy days in. Choose from a timeless classic tartan or an adorable dachshund design. It's super soft and cosy. 100% polyester. Machine washable. L150 x W120cm approx.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14633.jpg,output\winter_warmers\cache\images\14633.jpg,output\winter_warmers\cache\images\14633_qr.png,,active,
14616,Luxury Teddy Bedding Blue Chevron - Double,£29.50,£22.13,£7.37,25%,https://stevegiergiel.vivamknetwork.co.uk/luxury-teddy-bedding-blue-chevron-double.html,"Elevate your sleep experience with the perfect blend of style, warmth, and everyday luxury. Our luxurious fleece bedding is designed to turn every night into a cosy retreat. Featuring a gently raised textured pattern, it’s as inviting to the eye as it is to the touch. Fully reversible. Single includes 1 pillowcase, double and king size include 2 pillowcases. Button fastening. 100% polyester. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14615_1.jpg,output\winter_warmers\cache\images\14616.jpg,output\winter_warmers\cache\images\14616_qr.png,,active,
14617,Luxury Teddy Bedding Blue Chevron - King Size,£35.50,£26.63,£8.87,25%,https://stevegiergiel.vivamknetwork.co.uk/luxury-teddy-bedding-blue-chevron-king-size.html,"Elevate your sleep experience with the perfect blend of style, warmth, and everyday luxury. Our luxurious fleece bedding is designed to turn every night into a cosy retreat. Featuring a gently raised textured pattern, it’s as inviting to the eye as it is to the touch. Fully reversible. Single includes 1 pillowcase, double and king size include 2 pillowcases. Button fastening. 100% polyester. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14617.jpg,output\winter_warmers\cache\images\14617.jpg,output\winter_warmers\cache\images\14617_qr.png,,active,
14615,Luxury Teddy Bedding Blue Chevron - Single,£23.50,£17.63,£5.87,25%,https://stevegiergiel.vivamknetwork.co.uk/luxury-teddy-bedding-blue-chevron-single.html,"Elevate your sleep experience with the perfect blend of style, warmth, and everyday luxury. Our luxurious fleece bedding is designed to turn every night into a cosy retreat. Featuring a gently raised textured pattern, it’s as inviting to the eye as it is to the touch. Fully reversible. Single includes 1 pillowcase, double and king size include 2 pillowcases. Button fastening. 100% polyester. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14615.jpg,output\winter_warmers\cache\images\14615.jpg,output\winter_warmers\cache\images\14615_qr.png,,active,
14610,Luxury Teddy Bedding Duck Egg Check - Double,£29.50,£22.13,£7.37,25%,https://stevegiergiel.vivamknetwork.co.uk/luxury-teddy-bedding-duck-egg-check-double.html,"Elevate your sleep experience with the perfect blend of style, warmth, and everyday luxury. Our luxurious fleece bedding is designed to turn every night into a cosy retreat. Featuring a gently raised textured pattern, it’s as inviting to the eye as it is to the touch. Fully reversible. Single includes 1 pillowcase, double and king size include 2 pillowcases. Button fastening. 100% polyester. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14610.jpg,output\winter_warmers\cache\images\14610.jpg,output\winter_warmers\cache\images\14610_qr.png,,active,
14611,Luxury Teddy Bedding Duck Egg Check - King Size,£35.50,£26.63,£8.87,25%,https://stevegiergiel.vivamknetwork.co.uk/luxury-teddy-bedding-duck-egg-check-king-size.html,"Elevate your sleep experience with the perfect blend of style, warmth, and everyday luxury. Our luxurious fleece bedding is designed to turn every night into a cosy retreat. Featuring a gently raised textured pattern, it’s as inviting to the eye as it is to the touch. Fully reversible. Single includes 1 pillowcase, double and king size include 2 pillowcases. Button fastening. 100% polyester. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14611.jpg,output\winter_warmers\cache\images\14611.jpg,output\winter_warmers\cache\images\14611_qr.png,,active,
14609,Luxury Teddy Bedding Duck Egg Check - Single,£23.50,£17.63,£5.87,25%,https://stevegiergiel.vivamknetwork.co.uk/luxury-teddy-bedding-duck-egg-check-single.html,"Elevate your sleep experience with the perfect blend of style, warmth, and everyday luxury. Our luxurious fleece bedding is designed to turn every night into a cosy retreat. Featuring a gently raised textured pattern, it’s as inviting to the eye as it is to the touch. Fully reversible. Single includes 1 pillowcase, double and king size include 2 pillowcases. Button fastening. 100% polyester. Machine washable.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/1/4/14609.jpg,output\winter_warmers\cache\images\14609.jpg,output\winter_warmers\cache\images\14609_qr.png,,active,
