sku,product,was,now,saving,percent,product_url,description,image_url,image_file
90737,LED Santa with Star,£18.00,£9.00,£9.00,50%,https://stevegiergiel.vivamknetwork.co.uk/led-santa-with-star.html,"Spread festive cheer with this delightful LED character, Santa with Star. It has bright LED lights to illuminate your home. Great for placing on a mantelpiece, window or anywhere you want to spread the joy of Christmas. Santa: H21 x W14 x D8cm. Polyresin. Comes boxed. Requires 2 x LR44 batteries (included).",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90737.jpg,christmas_booklet_output\cache\90737.jpg
90745,MYO Santa Stop Sign,£3.00,£1.50,£1.50,50%,https://stevegiergiel.vivamknetwork.co.uk/myo-santa-stop-sign.html,"Make sure Santa stops at your house with the Make Your Own Santa Stop Here Sign. It includes 1 x backing board, ribbon, 2 large stick-on decorations & 1 x sticker sheet containing letters & characters. Suitable for ages 3+. Size: H17.5 x W24cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90745.jpg,christmas_booklet_output\cache\90745.jpg
90748,120 Christmas Stickers,£3.00,£1.50,£1.50,50%,https://stevegiergiel.vivamknetwork.co.uk/120-christmas-stickers.html,Over 120 festive-themed stickers across three sheets. Glitter & holographic effects. Designs may vary. Suitable for ages 3+. H35.5 x L12.5cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90748.jpg,christmas_booklet_output\cache\90748.jpg
90752,Winter Wonderland - Double Oven Glove,£9.00,£4.50,£4.50,50%,https://stevegiergiel.vivamknetwork.co.uk/winter-wonderland-double-oven-glove.html,"The Winter Wonderland design features a classic checkered background in festive greens & reds with 3 fir trees and the text, ‘Winter Wonderland’. Outer 100% cotton, filling 100% polyester, lining 100% polypropylene. Machine washable. Size: L90 x W18 x D1.5cm. Matching tea towels & apron available.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90752.jpg,christmas_booklet_output\cache\90752.jpg
90761,His Lordship Mug,£7.00,£3.50,£3.50,50%,https://stevegiergiel.vivamknetwork.co.uk/his-lordship-mug.html,For the Lord & Lady of the manor! A great gift for Christmas. Fine China. Dishwasher & microwave safe. H11 x diam. 8.5cm.,https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90761.jpg,christmas_booklet_output\cache\90761.jpg
90768,Reusable Shopping Bag - Christmas Highland Coo,£9.00,£4.50,£4.50,50%,https://stevegiergiel.vivamknetwork.co.uk/reusable-shopping-bag-christmas-highland-coo.html,"Do your Christmas shopping in style with our selection of Reusable Shopping Bags. Highland Coo: H39 x W38 x D10cm, 80% cotton, 20% polyester.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90768.jpg,christmas_booklet_output\cache\90768.jpg
90770,Crochet Kit - Jolly Santa,£10.00,£5.00,£5.00,50%,https://stevegiergiel.vivamknetwork.co.uk/crochet-kit-jolly-santa.html,"These cute Christmas-themed crochet kits, available in Robin or Jolly Santa, are packaged in a 100% recyclable cardboard box and sleeve and are perfect gifts for the avid crafter, crocheter or yarnie! Robin: L12 x W11 x D12cm. Jolly Santa: L18 x W11 x D7cm. Suitable for age 12+.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90770.jpg,christmas_booklet_output\cache\90770.jpg
90779,Felt Play Scene,£5.00,£2.50,£2.50,50%,https://stevegiergiel.vivamknetwork.co.uk/felt-play-scene.html,"Create your very own Christmas scene with this 30-piece Felt Play set. It includes a whole host of characters, accessories and a cardboard background to place them on. Scene size: L20 x W30cm. Suitable for ages 3+.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90779.jpg,christmas_booklet_output\cache\90779.jpg
90787,Snacks for Santa Board,£5.00,£2.50,£2.50,50%,https://stevegiergiel.vivamknetwork.co.uk/snacks-for-santa-board.html,"Bring the magic of Christmas to life with this Snacks for Santa board. The wooden treats board features a place for Santa's snack, Santa's drink and Rudolph's carrot. Food safe. Hand wash. H20 x W30cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90787.jpg,christmas_booklet_output\cache\90787.jpg
90809,Light Up Robin,£15.00,£7.50,£7.50,50%,https://stevegiergiel.vivamknetwork.co.uk/light-up-robin.html,"A traditional red-breasted robin with light-up chest - the perfect ornament for your windowsill, mantlepiece, or tabletop this Christmas. 3 LED lights illuminate the acorn-detailed garland necklace. Glitter finish. Comes boxed. Polyresin. H14 x W18.5 x D14cm. Design may vary. Requires 2 x AAA batteries (not included). AAA batteries are available in packs of 10 on code 13459 for only £3 / €3.60.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90809.jpg,christmas_booklet_output\cache\90809.jpg
90823,Blinkin Santa,£30.00,£15.00,£15.00,50%,https://stevegiergiel.vivamknetwork.co.uk/blinkin-santa.html,"Create a winter wonderland with the fun blinkin’ Santa. The eyes blink, move and wink! A quirky and fun Christmas decoration. Auto timer, 6 hours on/18 hours off. Requires 3 x AA batteries (not included). Polyresin. Comes boxed. H25 x W18cm. Suitable for indoor or outdoor use. AA batteries are available in packs of 10 on code 13458 for only £3 / €3.60.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90823.jpg,christmas_booklet_output\cache\90823.jpg
90836,Highland Cow - Santa Sack,£12.00,£6.00,£6.00,50%,https://stevegiergiel.vivamknetwork.co.uk/highland-cow-santa-sack.html,"An adorable highland cow, styled in a festive hat, stands over Santa’s present sack! This mischievous festive cow would look perfect perched on a mantlepiece, shelf, table or TV unit. Comes boxed. Resin. H10 x W6 x D7cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90836.jpg,christmas_booklet_output\cache\90836.jpg
90837,Snowman Ornament,£10.00,£5.00,£5.00,50%,https://stevegiergiel.vivamknetwork.co.uk/snowman-ornament.html,"A charming snowman with tree ornament that brings a heartwarming message of gratitude and joy. It has the word ‘blessed’ written across the front, serving as a reminder of the blessings that surround us during the festive holidays. Resin. H10 x W8 x D4.5cm.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90837.jpg,christmas_booklet_output\cache\90837.jpg
90845,Velvet Bows 3pk - Red,£5.00,£2.50,£2.50,50%,https://stevegiergiel.vivamknetwork.co.uk/velvet-bows-3pk-red.html,"This selection of velvet bows is a great addition to the décor on your tree or around the home this season. Available in red or tartan, in a large 34cm & packs of 3 x 15cm, there’s a bow for everyone. The large bows have a metal hanging loop, and the smaller bows each come with a tie on the reverse.",https://stevegiergiel.vivamknetwork.co.uk/media/catalog/product/cache/6517c62f5899ad6aa0ba23ceb3eeff97/9/0/90845.jpg,christmas_booklet_output\cache\90845.jpg
